BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
62073,67433,74410,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.3,,2,1,"=""31811010314816""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
62073,67433,74412,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.5,,2,1,"=""31811010314741""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
62073,67433,74414,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.7,,2,1,"=""31811010314824""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,3/30/2017
62073,67433,74421,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.14,,2,1,"=""31811010315094""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
62073,67433,74429,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.22,,2,1,"=""31811010752296""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,4/21/2017
62073,67433,74441,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.34,,2,1,"=""31811010315193""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,4/6/2017
62073,67433,74455,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.48,,2,1,"=""31811010315375""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
537729,575959,785924,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,81:2,,1,1,"=""31811012332592""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,832574,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,85:4,,1,1,"=""31811013927614""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,833260,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,85:5,,1,1,"=""31811013927390""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,827953,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,84:5,,1,1,"=""31811013903417""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651705,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,73:5,,1,1,"=""31811013335420""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651706,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,73:4,,1,1,"=""31811012452564""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651707,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,73:3,,1,1,"=""31811012450097""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651708,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,73:2,,1,1,"=""31811013335461""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651709,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,73:1,,1,1,"=""31811013335479""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
537729,575959,651710,N,N,as,eng,Reference shelf.,,Reference shelf.,,,(OCoLC)ocm01642339,,"H.W. Wilson,",1922,aastx,AC1 .R4,AC    1            R 4,72:5,,1,1,"=""31811012022144""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,10/1/2018,2224,
