BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
576187,615535,690905,Y,N,am,eng,Avalanche Handbook,,Avalanche Handbook,,,,,,2000,aastx,A1.76:489,A    176          : 489,,,0,1,"=""""",aastx,Book Collection,BOOK 16/8/4 WK,,,,3/27/2003,,,3/27/2003
551554,590064,666542,N,N,am,eng,How to think about the great ideas : from the great books of western civilization / Mortimer J. Adler ; edited by Max Weismann.,"Adler, Mortimer Jerome, 1902-2001.",How to think about the great ideas : from the great books of western civilization /,,0812694120 (pbk. : alk. paper),(OCoLC)ocm43334095,c2000.,"Open Court,",2000,aastx,AC1 .A67 2000,AC    1            A 67   2000,,,1,1,"=""31811012472745""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,4/16/2008
158493,172312,193160,N,N,am,eng,Denis Diderot's The encyclopedia : selections / edited and translated by Stephen J. Gendzier.,,Denis Diderot's The encyclopedia : selections /,[1st ed.],,(OCoLC)ocm00869672,1967.,"Harper & Row,",1967,aastx,AC20 .D45,AC   20            D 45,,,1,1,"=""31811010758491""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,10/17/2008
633086,682584,755657,N,N,am,eng,"Dissemination / Jacques Derrida ; translated, with an introduction and additional notes, by Barbara Johnson.","Derrida, Jacques.",Dissemination /,,0226143279,(OCoLC)ocm07552845,1981.,"University of Chicago Press,",1981,aastx,AC25 .D45513 1981,AC   25            D 45513   1981,,,1,1,"=""31811012717537""",aastx,Book Collection,BOOK 16/8/4 WK,,,,10/5/2006,5/8/2007,,9/29/2010
526044,563636,637161,N,N,am,eng,Prisms. Translated from the German by Samuel and Shierry Weber.,"Adorno, Theodor W., 1903-1969.",Prisms.,,,(OCoLC)ocm00655288,[c1967],N. Spearman,1967,aastx,AC35 .A313,AC   35            A 313,,,1,1,"=""31811010758673""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,10/23/2009
75567,81889,91850,N,N,am,eng,World as I see it / Albert Einstein ; translated by Alan Harris.,"Einstein, Albert, 1879-1955.",World as I see it /,[Abridged ed.],080650711X,(OCoLC)ocm05722717,1979?,"Wisdom Library ; distributed to the trade by Citadel Press,",1979,aastx,AC35 .E5291979,AC   35            E 5291979,,,1,1,"=""31811010243536""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,5/20/2011
309111,336944,376018,N,N,am,eng,Reminiscences and reflections. Edited from the literary remains and with a foreword by Rudolf M. Heilbrunn. [Translated from the German by Ruth S. Magurn],"Friedla¿¿nder, Max J., 1867-1958.",Reminiscences and reflections.,,0821211099,(OCoLC)ocm00001511,[1969],New York Graphic Society,1969,aastx,AC35 .F7213,AC   35            F 7213,,,1,1,"=""31811010758715""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
29770,32706,36641,N,N,am,eng,"Done in a day : 100 years of great writing from the Chicago daily news / edited by Dick Griffin, Rob Warden.",,Done in a day : 100 years of great writing from the Chicago daily news /,1st ed.,0804007551,(OCoLC)ocm02985138,c1977.,"Swallow Press,",1977,aastx,AC5 .D631977,AC    5            D 631977,,,1,1,"=""31811010000084""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
318055,346222,386577,N,N,am,eng,"Cambridge mind: ninety years of the Cambridge Review, 1879-1969; edited by Eric Homberger, William Janeway and Simon Schama.","Homberger, Eric.","Cambridge mind: ninety years of the Cambridge Review, 1879-1969;",,0224619144,(OCoLC)ocm00121474,1970.,"Cape,",1970,aastx,AC5 .H64,AC    5            H 64,,,1,1,"=""31811010000498""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
358261,387763,431314,N,N,am,eng,Cultural discord in the modern world : geographical themes / edited by L. J. Evenden and F. F. Cunningham.,"International Geographical Congress (22nd : 1972 : Montre¿¿al, Que¿¿bec)",Cultural discord in the modern world : geographical themes /,,091947831X,(OCoLC)ocm01275461,[1974],"Tantalus Research,",1974,aastx,AC5 .I71972,AC    5            I 71972,,,1,1,"=""31811010000555""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,1/16/2007
