BIB_ID`MFHD_ID`ITEM_ID`BibSuppress`MfhdSuppress`BIB_FORMAT`LANGUAGE`TITLE`AUTHOR`TITLE_BRIEF`EDITION`ISBN`NETWORK_NUMBER`PUBLISHER_DATE`PUBLISHER`BEGIN_PUB_DATE`MfhdLocation`displayCallNo`normCallNo`ITEM_ENUM`CHRON`COPY_NUMBER`PIECES`ITEM_BARCODE`ItemPermLocCode`ItemPermLocName`ItemPermTypeName`ItemTempLocCode`ItemTempLocName`ItemTempTypeName`CREATE_DATE`UPDATE_DATE`PO_ID`MaxOfCHARGE_DATE
720083`775724`821470`N`N`am`eng`Violence and the philosophical imaginary / Ann V. Murphy.`Murphy, Ann V.`Violence and the philosophical imaginary /``9781438440316 (hardcover : alk. paper)`(OCoLC)ocn713834716`c2012.`State University of New York Press,`2012`aastx`B844 .M87 2012`B  844            M 87   2012```1`1`31811013838977`aastx`Book Collection`BOOK 16/8/4 WK````14-Mar-12`09-May-12`14672`
741851`790835`821930`N`N`am`eng`Forgiveness and retribution : responding to wrongdoing / Margaret R. Holmgren.`Holmgren, Margaret R. (Margaret Reed), 1951-`Forgiveness and retribution : responding to wrongdoing /``9781107017962 (hardback)`(OCoLC)ocn746618748`2012.`Cambridge University Press,`2012`aastx`BJ1476 .H65 2012`BJ 1476            H 65   2012```1`1`31811013840361`aastx`Book Collection`BOOK 16/8/4 WK````17-Apr-12`22-May-12`14863`
741552`790662`821909`N`N`am`eng`Towards a new manifesto / Theodor Adorno & Max Horkheimer ; translated by Rodney Livingstone.`Adorno, Theodor W., 1903-1969.`Towards a new manifesto /``9781844678198 (hbk.)`(OCoLC)ocn711052057`2011.`Verso,`2011`aastx`B3279.H8473 D5713 2011`B 3279            H 8473   D 5713   2011```1`1`31811013835957`aastx`Book Collection`BOOK 16/8/4 WK````11-Apr-12`22-May-12`14853`
741992`790838`821866`N`N`am`eng`Rise and fall of the Bible : the unexpected history of an accidental book / Timothy Beal.`Beal, Timothy K. (Timothy Kandler), 1963-`Rise and fall of the Bible : the unexpected history of an accidental book /``9780151013586 (hbk.)`(OCoLC)ocn318415577`2011.`Houghton Mifflin Harcourt,`2011`aastx`BS511.3 .B43 2011`BS  5113           B 43   2011```1`1`31811013839900`aastx`Book Collection`BOOK 16/8/4 WK````18-Apr-12`21-May-12`14863`
720073`768705`820515`N`N`am`eng`Nature and logos : a Whiteheadian key to Merleau-Ponty's fundamental thought / William S. Hamrick,Jan Van der Veken.`Hamrick, William S.`Nature and logos : a Whiteheadian key to Merleau-Ponty's fundamental thought /``9781438436173 (hardcover : alk. paper)`(OCoLC)ocn657079956`c2011.`State University of New York Press,`2011`aastx`B2430.M3764 H35 2011`B 2430            M 3764   H 35   2011```1`1`31811013825198`aastx`Book Collection`BOOK 16/8/4 WK````14-Mar-12`30-Mar-12`14664`
692661`740450`814297`N`N`am`eng`Dead Sea scrolls today / James C. VanderKam.`VanderKam, James C.`Dead Sea scrolls today /`2nd ed.`9780802864352 (pbk. : alk. paper)`(OCoLC)ocn368051312`c2010.`William B. Eerdmans Pub. Co.,`2010`aastx`BM487 .V26 2010`BM  487            V 26   2010```1`1`31811013754794`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`15-Aug-11`14072`
692670`740456`813030`N`N`am`eng`Friedrich Nietzsche : a philosophical biography / Julian Young.`Young, Julian.`Friedrich Nietzsche : a philosophical biography /``9780521871174 (hardback)`(OCoLC)ocn401714379`2010.`Cambridge University Press,`2010`aastx`B3316 .Y68 2010`B 3316            Y 68   2010```1`1`31811013577484`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`16-Feb-12
704184`752438`818943`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.5``1`1`31811013799880`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`
692424`740144`812406`N`N`am`eng`When research goes off the rails : why it happens and what you can do about it / edited by David L. Streiner, Souraya Sidani.``When research goes off the rails : why it happens and what you can do about it /``9781606234105 (pbk. : alk. paper)`(OCoLC)ocn318874703`c2010.`Guilford Press,`2010`aastx`BF76.5 .W475 2010`BF   765           W 475   2010```1`1`31811013577229`aastx`Book Collection`BOOK 16/8/4 WK````14-Mar-11`05-May-11`14046`11-Jan-12
704184`752438`818939`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.8``1`1`31811013799856`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`
