BIB_ID,MFHD_ID,ITEM_ID,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
316844,344983,385240,am,eng,"General geology and petrology of the Precambrian crystalline rocks, Park and Jefferson Counties, Colorado / by C. C. Hawley and R. A. Wobus. ","Hawley, Charles Caldwell, 1929- ","General geology and petrology of the Precambrian crystalline rocks, Park and Jefferson Counties, Colorado / ",,,(OCoLC)ocm02599386 ,c1977. ,"U.S. Govt. Print. Off., ",1977,aastx,I19.16:608-B,I   1916          : 608 B,,,1,1,38888070331776,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
364236,393935,437942,am,eng,"Injury experience in coal mining, 1970, by Forrest T. Moyer and Mary B. McNair. ","Moyer, Forrest Theodore, 1906- ","Injury experience in coal mining, 1970, ",,,(OCoLC)ocm00948654 ,[1973] ,U.S. Bureau of Mines ,1973,aastx,I28.27:8613,I   2827          : 8613,,,1,1,38888070350222,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
356881,386339,429807,am,eng,"Mineral resources of the Agua Tibia Primitive Area, California, by William P. Irwin, Robert C. Greene, and Horace K. Thurber. ","Irwin, William Porter, 1919- ","Mineral resources of the Agua Tibia Primitive Area, California, ",,,(OCoLC)ocm00100666 ,1970. ,"U.S. Govt. Print. Off., ",1970,aastx,I19.3:1319-A,I   193           : 1319 A,,,1,1,38888070336700,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
357797,387281,430791,am,eng,"Placer gold deposits of Utah, by Maureen G. Johnson. ","Johnson, Maureen G. ","Placer gold deposits of Utah, ",,,(OCoLC)ocm00700493 ,1973. ,"U.S. Govt. Print. Off., ",1973,aastx,I19.3:1357,I   193           : 1357,,,1,1,38888070337666,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
397329,429106,478340,am,und,"CALEIUM CARBONATE, ORGANIC CARBON, AND NITROGEN IN SEDIMENTS FROM DRILL HOLES ON THE CONTINENTAL MARGIN OFF FLORIDA. ","HULSEMANN, JOBST. ","CALEIUM CARBONATE, ORGANIC CARBON, AND NITROGEN IN SEDIMENTS FROM DRILL HOLES ON THE CONTINENTAL MARGIN OFF FLORIDA. ",,,se 03093434 ,1968. ,,1968,aastx,I19.16:581-B,I   1916          : 581 B,,,1,1,38888070334671,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
450326,536364,603123,am,eng,"Geology and pegmatites of the Fourmile quadrangle, Black Hills, South Dakota, by Jack A. Redden. ","Redden, Jack Allison, 1926- ","Geology and pegmatites of the Fourmile quadrangle, Black Hills, South Dakota, ",,,(OCoLC)ocm00062187 ,1963. ,"U.S. Govt. Print. Off., ",1963,aastx,I19.16:297-D,I   1916          : 297 D,,,1,1,38888070362342,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
450338,536376,603135,am,eng,"Geology of the Hugo pegmatite, Keystone, South Dakota, by J. J. Norton, L. R. Page, and D. A. Brobst. ","Norton, James Jennings, 1918- ","Geology of the Hugo pegmatite, Keystone, South Dakota, ",,,(OCoLC)ocm00071041 ,1962. ,"U.S. Govt. Print. Off., ",1962,aastx,I19.16:297-B,I   1916          : 297 B,,,1,1,38888070356377,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
450396,536436,603197,am,eng,"Geology and ore deposits of the Anto真nio dos Santos, Gongo So真co, and Conceic真a真o do Rio Acima quadrangles, Minas Gerais, Brazil, by Samuel L. Moore. ","Moore, Samuel L. ","Geology and ore deposits of the Anto真nio dos Santos, Gongo So真co, and Conceic真a真o do Rio Acima quadrangles, Minas Gerais, Brazil, ",,,(OCoLC)ocm00061727 ,1969. ,"U.S. Govt. Print. Off., ",1969,aastx,I19.16:341-I,I   1916          : 341 I,,,1,1,38888070349687,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
450477,536518,603279,am,eng,"River meanders--theory of minimum variance, by Walter B. Langbein and Luna B. Leopold. ","Langbein, Walter Basil, 1907- ","River meanders--theory of minimum variance, ",,,(OCoLC)ocm00080005 ,1966. ,"U.S. Govt. Print. Off., ",1966,aastx,I19.16:422-H,I   1916          : 422 H,,,1,1,31811011195735,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,02/27/2003 09:39:43
457841,544388,613544,am,eng,"Geochemistry of niobium and tantalum, by Raymond L. Parker and Michael Fleischer. ","Parker, Raymond Lawrence ","Geochemistry of niobium and tantalum, ",,,(OCoLC)ocm00020620 ,1968. ,"U.S. Govt. Print. Off., ",1968,aastx,I19.16:612,I   1916          : 612,,,1,1,38888070358233,aastx,Book Collection,BOOK 16/8/4 WK,,,,04/21/2002,,,
